fips,cases,deaths,popdense,population,ageab65,pctpov,pctmale,pctwhite,pctblack,pctindian,pctasian,pcthispanic,pct_highschool_or_less,pct_Adults_with_Diabetes,pct_Adults_with_Obesity,infection_rate_10k,fatality_rate_10k,Infection_rate_clusters,Fatality_rate_clusters
2164,2,0,0.025640626,1587,0.102079395,15.9,51.22873346,22.306238,1.0081915,59.609324,3.1505987,3.5286706,56.20914841,10,38,12.60239445,0,Low,Low
53055,55,0,38.025967,17128,0.340903783,11.4,48.37692667,88.118869,0.64222324,0.74147596,1.4479215,6.6557683,20.11670303,6,18,32.11116301,0,Low,Low
2100,15,0,0.40828359,2474,0.22069523,9,49.39369442,77.405012,0.60630557,10.024253,1.0105093,3.2336298,32.64864922,7,27,60.6305578,0,Low,Low
2275,16,0,0.37809685,2503,0.218937275,7.8,51.77786656,66.919696,0.4794247,16.060728,3.2760687,2.9964043,48.72727299,14,43,63.92329205,0,Low,Low
2195,23,0,0.42874879,3221,0.190934492,8.2,52.77864017,71.220118,2.1421919,10.183173,3.2288108,6.0229741,42.05011272,8,25,71.40639553,0,Low,Low
50013,51,0,33.462078,7090,0.208039492,7.6,50.46544429,92.397743,0.74753175,1.4104372,0.55007054,2.087447,34.11117363,10,30,71.93229901,0,Low,Low
6091,23,0,1.2099512,2987,0.316370941,8.3,50.58587211,82.825577,0.50217612,1.7408771,0.5691329,12.085705,39.29752111,7,25,77.00033478,0,Low,Low
50015,200,0,21.287897,25300,0.173636364,14.5,50.02766798,94.466406,0.98418975,0.34387351,0.66007907,1.826087,32.74649906,7,24,79.0513834,0,Low,Low
51610,120,0,2787.0305,14772,0.132277281,2.7,49.08610885,70.884103,4.440834,0.35201733,9.5992416,11.149472,8.382045984,5,20,81.23476848,0,Low,Low
53069,43,0,6.4996781,4426,0.321735201,7.8,50.20334388,87.34749,0.38409398,1.3782196,1.7623136,5.2869409,37.924757,14,36,97.15318572,0,Low,Low
2013,36,0,0.19429277,3515,0.092176387,15.4,67.53911807,8.5917495,10.412518,19.203414,42.788053,14.708392,57.98929691,13,51,102.4182077,0,Low,Low
35021,7,0,0.11898354,655,0.377099237,18.3,51.14503817,53.587788,0.30534351,0.15267176,0,45.496184,41.12675953,8,25,106.870229,0,Low,Low
41057,299,0,9.3820829,26787,0.25792362,15,50.62530332,83.790642,0.53010788,1.1348789,1.0079516,10.680554,39.12052345,7,33,111.6213088,0,Low,Low
50009,77,0,3.6364326,6250,0.25568,14.6,50.096,95.248002,0.59199999,0.544,0.73600002,1.312,59.15909672,13,29,123.2,0,Low,Low
8053,10,0,0.28027231,811,0.303329223,13,51.54130703,89.025897,0.61652283,1.1097411,0.61652283,6.0419235,29.01849222,5,24,123.3045623,0,Low,Low
32011,28,0,0.18520644,2003,0.162755866,7.7,52.82076885,80.029953,0.7988018,2.5461808,1.0484274,13.529706,52.82318115,8,23,139.7903145,0,Low,Low
35028,276,0,67.53598,19101,0.178524685,5.3,50.80885817,71.430814,1.3978326,0.82194647,6.3504532,18.229412,11.19909549,6,23,144.4950526,0,Low,Low
2130,207,0,1.1064258,13918,0.155338411,10.5,51.02744647,63.17718,0.94841216,13.033482,8.3273456,5.7766922,36.93217134,9,38,148.7282656,0,Low,Low
41055,30,0,0.80069321,1708,0.265222482,13.1,51.52224824,87.236536,0.29274004,1.9906323,0.52693207,7.3770493,42.60591412,6,29,175.6440281,0,Low,Low
54013,128,0,10.029686,7254,0.245244003,18.9,49.86214502,96.898264,0.31706644,0.33085195,0.16542597,1.2682658,66.18188477,11,31,176.45437,0,Low,Low
31165,21,0,0.22175622,1187,0.285593934,10.7,51.30581297,91.659647,0.16849199,1.010952,0.25273799,5.728728,36.20071602,7,23,176.9165965,0,Low,Low
53039,417,0,4.5604801,22107,0.238928846,15,50.4681775,82.114261,0.51567378,2.0536482,0.86397976,11.914778,36.77619362,11,29,188.6280364,0,Low,Low
27031,103,0,1.4336797,5393,0.28555535,13,50.02781383,84.98053,0.81587238,8.0845542,0.83441501,2.4847023,26.90331602,9,22,190.9883182,0,Low,Low
8057,31,0,0.3347266,1399,0.222301644,15.7,51.75125089,84.703362,0.07147963,0.85775554,0.71479627,12.580414,40.75975323,9,28,221.5868477,0,Low,Low
51091,54,0,2.0553036,2210,0.343891403,12.3,49.77375566,97.013575,0.85972855,0.22624435,0.54298644,1.040724,50.18686485,15,27,244.3438914,0,Low,Low
25007,434,0,64.915688,17352,0.243142001,8,49.31420009,87.269479,4.0744584,1.169894,1.0431075,3.7690181,28.80536509,7,27,250.1152605,0,Low,Low
49033,63,0,0.9246816,2464,0.179788961,15.9,51.46103896,90.70617,0.32467532,0.52759741,0.28409092,7.1022727,36.39478922,13,26,255.6818182,0,Low,Low
2180,266,0,0.16820982,10008,0.077338129,23.1,52.62789768,14.928058,0.76938448,74.110711,1.4488409,2.5079936,56.557971,7,40,265.7873701,0,Low,Low
2068,58,0,0.062909462,2059,0.118989801,16.9,55.65808645,79.990286,2.1369597,5.1481303,5.3423993,3.2054394,27.5353421,5,25,281.6901408,0,Low,Low
2220,249,0,1.163278,8647,0.157395629,7.5,50.8846999,61.084771,0.9367411,14.513704,7.7599168,6.9850817,32.67165709,8,27,287.9611426,0,Low,Low
8027,146,0,2.5896065,4954,0.321760194,15.3,51.57448526,89.907146,1.3322568,0.82761403,0.52482844,5.5106983,27.15110254,7,28,294.7113444,0,Low,Low
8051,509,0,2.0557046,17246,0.129653253,13.2,53.92554795,87.127447,0.64362749,0.75959642,0.69581354,9.3528934,18.53598738,2,17,295.1409022,0,Low,Low
13265,52,0,3.1902797,1608,0.263059701,28,49.50248756,38.743782,53.482586,0.12437811,1.3059702,4.3532338,75.14170074,16,36,323.3830846,0,Low,Low
38087,25,0,0.24248825,763,0.229357798,5.5,52.29357798,93.184799,1.0484928,1.1795544,0,3.8007863,38.41911793,11,27,327.6539974,0,Low,Low
8111,25,0,0.75922078,762,0.233595801,4.6,56.03674541,83.858269,0.1312336,0.78740157,0.65616798,12.335958,31.95876217,4,25,328.0839895,0,Low,Low
20207,106,0,2.4686966,3183,0.242852655,22,50.29846057,92.836946,0.56550424,1.2252592,0.094250706,3.0474395,44.49740124,10,38,333.0191643,0,Low,Low
