fips,cases,deaths,popdense,population,ageab65,pctpov,pctmale,pctwhite,pctblack,pctindian,pctasian,pcthispanic,pct_highschool_or_less,pct_Adults_with_Diabetes,pct_Adults_with_Obesity,infection_rate_10k,fatality_rate_10k,Infection_rate_clusters,Fatality_rate_clusters
31099,13,0,4.8943076,6544,0.195751834,10.6,49.87775061,91.946822,0.24449879,0.27506112,0.27506112,6.4792179,32.74496412,10,37,19.86552567,0,Medium,Low
31101,4,0,2.9172239,8021,0.267048996,11.7,50.44258821,89.303082,0.77297096,0.38648548,0.5236255,7.5676352,40.16736412,10,30,4.986909363,0,Low,Low
31105,10,0,1.4675883,3618,0.24405749,9.5,50.19347706,84.577113,0.27639579,1.4648978,1.0503041,10.088447,47.54589653,12,39,27.63957988,0,Medium,Low
31107,20,0,2.9325745,8419,0.246822663,10.9,49.49518945,85.354555,0.34445897,9.1341011,0.45136004,2.8506948,41.69950485,10,32,23.75579047,0,Medium,Low
31109,1728,12,146.25632,317272,0.139120376,13.1,50.18501475,80.842304,3.9656825,0.57742251,4.7731914,7.2168358,27.85786343,8,29,54.46430823,69.44444444,Medium,Medium
31111,57,2,5.29809,35185,0.193406281,12.2,49.47847094,87.514567,1.0686372,0.52295011,0.94642602,8.722467,34.95938301,12,37,16.20008526,350.877193,Medium,Medium
31119,365,4,23.863777,35392,0.159442812,15.8,49.47163201,78.752261,1.2093129,1.0595615,1.7970163,15.788879,39.99825478,11,34,103.130651,109.5890411,High,Medium
31121,38,0,6.1453476,7733,0.205612311,10.6,50.10991853,92.202252,0.36208457,0.63364799,0.93107466,4.6941679,41.07175207,16,38,49.14004914,0,Medium,Low
31123,37,0,1.2707034,4686,0.21190781,8.7,51.32309006,81.75416,0.27742211,0.83226636,0.61886469,15.428938,44.76813221,14,38,78.95860009,0,High,Low
31125,4,0,3.0878816,3532,0.213759909,11.3,49.66024915,94.535673,0.4813137,0.59456397,0.11325028,3.1426955,44.53681803,11,31,11.32502831,0,Low,Low
31127,5,0,6.5946317,6958,0.200776085,12.4,50,93.561369,1.3509629,0.3449267,0.51739006,2.8169014,38.06929588,11,39,7.185972981,0,Low,Low
31129,1,0,2.8161068,4195,0.271036949,12.2,49.70202622,94.779497,0.19070322,0.30989272,0.64362334,2.8843861,42.103549,10,34,2.383790226,0,Low,Low
31131,22,0,10.024698,15985,0.194557398,11.2,49.60275258,88.220209,0.78198314,0.41914294,0.61933063,8.3453238,42.54632473,12,40,13.76290272,0,Medium,Low
31137,26,0,6.4346833,8996,0.207203201,8.8,50.14450867,91.896397,0.3890618,0.40017786,0.42240997,5.8803912,36.58653021,10,37,28.9017341,0,Medium,Low
31139,8,0,4.8103757,7142,0.192943153,7.3,50.61607393,95.855504,0.43405211,0.30803697,0.39204704,2.016242,37.83560324,11,32,11.20134416,0,Low,Low
31141,664,3,19.109226,33363,0.171657225,8.3,50.66690645,77.442074,0.64442647,0.33869855,1.0250877,19.815364,40.84979343,9,36,199.0228696,45.18072289,High,Medium
31143,12,0,4.6489511,5278,0.228874574,7.8,49.3558166,92.023492,0.17051913,0.37893141,0.22735884,6.2713146,39.63716316,10,35,22.7358848,0,Medium,Low
31145,6,0,5.7758694,10726,0.207999254,9.7,49.75759836,91.655791,1.3145627,0.42886445,0.41954131,5.1277269,40.06793499,9,35,5.59388402,0,Low,Low
