fips,cases,deaths,popdense,population,ageab65,pctpov,pctmale,pctwhite,pctblack,pctindian,pctasian,pcthispanic,pct_highschool_or_less,pct_Adults_with_Diabetes,pct_Adults_with_Obesity,infection_rate_10k,fatality_rate_10k,Infection_rate_clusters,Fatality_rate_clusters
19195,521,3,7.1918292,7453,0.205420636,9.3,50.54340534,94.230509,0.81846239,0.18784382,0.59036631,3.0725881,43.10900402,17,33,699.0473635,57.5815739,Medium,Low
19197,1529,18,8.4416027,12690,0.227265563,12.8,50.2679275,84.893614,0.69345944,0.22064617,0.40189126,12.718676,44.52604294,7,37,1204.885737,117.7240026,High,Medium
20001,653,1,9.6036024,12444,0.207087753,16.5,49.26872388,89.987141,1.9768564,0.81163617,0.7553841,3.7528127,41.15654373,17,38,524.750884,15.31393568,Medium,Low
20003,564,0,5.2475305,7878,0.212744351,13.9,49.64457984,94.529068,0.62198527,0.62198527,0.67275958,1.9421173,51.00478554,12,35,715.9177456,0,Medium,Low
20005,1251,10,14.500286,16193,0.171617366,17.6,48.54566788,88.309765,4.8477739,0.62990179,0.64225281,3.100105,45.63394213,11,43,772.5560427,79.93605116,Medium,Low
20007,283,2,1.5225211,4472,0.229651163,15.6,51.45348837,91.614491,0.80500897,1.118068,0.46958853,4.2486582,42.59950447,11,28,632.8264758,70.67137809,Medium,Low
20009,2201,21,11.261025,26111,0.192179541,16.7,49.40063575,81.168854,1.344261,0.45574661,0.24127762,15.234959,42.51637936,13,39,842.9397572,95.41117674,High,Low
20011,927,3,8.9029341,14653,0.197160991,16.6,49.42332628,89.756364,2.9686753,0.75752405,1.2011192,2.8526582,40.15739727,12,35,632.6349553,32.36245955,Medium,Low
20013,1023,18,6.4914947,9598,0.205042717,14.2,49.35403209,82.850593,1.1877474,8.1371121,0.40633464,4.7405709,44.15088749,14,37,1065.847051,175.9530792,High,Medium
20015,5314,23,18.030869,66765,0.151711226,10.5,50.31678275,88.499963,2.0025462,0.84325615,1.2851045,5.0220925,33.37136841,10,35,795.9260091,43.28189688,Medium,Low
20017,238,3,1.3130544,2629,0.251426398,12.6,50.893876,91.023201,1.2552301,0.57055913,0.26626093,5.0589576,37.25274658,10,35,905.2871814,126.0504202,High,Medium
20019,180,3,1.9997654,3309,0.267452403,17,51.46569961,85.67543,0.87639773,5.1677246,0.090661831,3.9588999,48.24120522,13,32,543.9709882,166.6666667,Medium,Medium
20021,1709,16,13.152266,20015,0.193005246,13.8,49.18311267,87.669247,0.79440419,4.0019985,0.4646515,2.7729204,42.85301876,16,42,853.8596053,93.62200117,High,Low
20023,275,10,1.0070028,2660,0.269548872,9.5,50.67669173,90.187973,0.33834586,0.33834586,1.9924812,6.2781952,37.32984352,9,32,1033.834586,363.6363636,High,High
20025,191,4,0.79427952,2005,0.219451372,11,49.62593516,84.039903,0.34912718,0.94763096,1.2967581,10.822943,32.41330433,12,32,952.6184539,209.4240838,High,Medium
20027,611,17,4.7848573,7997,0.229836189,7.7,50.03126172,93.922722,0.80030011,0.51269224,0.52519697,2.5134426,42.36086321,10,29,764.0365137,278.2324059,Medium,High
20029,853,2,4.7114344,8729,0.215946844,12.1,49.60476572,92.668116,0.80192462,0.50406689,1.3403597,3.2076985,38.61023235,10,40,977.2024287,23.44665885,High,Low
20031,508,10,5.0707555,8233,0.214502611,11.9,49.36232236,93.003768,0.83809057,0.8623831,0.92311427,2.8057816,39.3622489,11,38,617.0290295,196.8503937,Medium,Medium
20033,150,7,0.85615718,1748,0.255720824,6.2,48.56979405,88.844395,0.34324944,0.51487414,0.2860412,8.1807777,40.94551373,8,27,858.1235698,466.6666667,High,High
20035,2544,9,12.07896,35218,0.182293146,15.2,50.30382191,79.19246,2.6548924,1.7320689,1.8257709,11.03697,39.25129604,13,39,722.3578852,35.37735849,Medium,Low
20037,3379,32,25.544384,39019,0.155180809,20.9,50.16530408,86.41175,2.1835515,0.9790102,1.8119378,5.7869244,37.16521263,11,34,865.9883646,94.70257473,High,Low
20041,1239,16,8.5314045,18717,0.197574398,12.5,50.39803387,90.516645,1.0258054,0.60907197,0.62510017,4.8565473,41.72033215,11,36,661.9650585,129.1364003,Medium,Medium
20043,722,5,7.5379815,7682,0.195521999,14.6,50.28638375,90.223902,3.2153085,1.1976048,0.46862797,2.7987503,46.4321413,11,38,939.8594116,69.25207756,High,Low
20045,6482,34,102.87678,121436,0.123143055,18.7,49.83695115,78.326035,4.3833788,2.1986891,4.9400508,6.3737281,23.01657772,7,28,533.77911,52.45294662,Medium,Low
20047,240,0,1.768797,2849,0.212706213,8.5,50.85995086,75.991577,0.63180062,1.0530011,0.24570024,20.35802,42.83009815,15,38,842.4008424,0,High,Low
20049,106,0,1.5030234,2508,0.290669856,14.6,50.51834131,89.752793,0.11961722,1.6347688,0.51834132,4.5853268,54.08704662,23,33,422.6475279,0,Low,Low
20051,3210,40,12.317859,28710,0.153814002,16,50.35876001,89.338207,1.1285267,0.28213167,1.7763846,5.8968998,33.59688425,7,30,1118.077325,124.6105919,High,Medium
20053,1048,4,3.3431695,6196,0.209328599,11,56.53647515,85.813427,5.2453194,0.69399611,0.61329892,6.0361523,42.71179104,11,37,1691.413815,38.16793893,High,Low
20055,5482,45,10.856847,36611,0.110185463,14.8,51.47086941,40.386769,3.3760346,0.42063859,4.1763406,50.531262,51.15933228,9,36,1497.36418,82.08682962,High,Low
20057,5138,10,11.913483,33888,0.111898017,14.4,51.88857413,39.320704,2.1866146,0.40722378,1.4193815,55.586046,51.72583389,9,31,1516.170916,19.462826,High,Low
20059,1757,18,17.308239,25631,0.166283017,10.3,49.88100347,91.026491,1.2562912,0.69837305,0.49159219,4.3150872,45.42160845,10,33,685.4980297,102.4473534,Medium,Medium
20061,1759,17,32.715958,32594,0.08645763,12.2,52.81953734,56.059396,17.199485,0.79155676,3.1202061,16.552126,31.17749977,10,39,539.6698779,96.64582149,Medium,Low
20063,332,20,0.94105715,2612,0.243108729,11.8,50.34456355,94.563556,0.42113322,0.11485452,0.88055134,2.6799388,44.20779085,14,29,1271.056662,602.4096386,High,High
20067,912,14,4.9276371,7336,0.13672301,8.8,50.21810251,49.659213,0.4225736,0.4225736,0.40894221,47.8735,48.91106987,9,32,1243.184297,153.5087719,High,Medium
20069,523,7,2.6809089,6033,0.150837063,6,50.33979778,81.170231,0.66302004,0.36466103,0.39781202,16.393171,45.1296978,9,31,866.8987237,133.8432122,High,Medium
